EventDescription,FailedAssets,CauseTechnical,Category
"At 0840hrs on 09/04/2018, 22kV feeder ACR DN 3360 located in Waverley Road successfully reclosed and held.

An unknown vehicle struck a council tree located outside 757 Stephensons Road, Mount Waverley and flicked the broken branch into the HV and LV conductors near pole number LIS 0602822.  It appeared the blue phase LV conductor clashed briefly with a HV conductor and the 250amp HRC fuse operated at ""Birdee-Fairway"" pole type substation  The faults crew requested that a LEI attend to investigate as a HVI was suspected to customers supplied from the west circuit of ""Birdee-Fairway"" substation.  The LEI confirmed a high voltage injection occurred (BWD 1806) affecting customers who reside in the vicinity that sustained minor damage to metering equipment and appliances.",Conductor (bare),Conductor clashing,Vehicle
"IMS 233378. INCD for grass fire in vicinity of AusNet Services' assets received from CFA. Initial report from the attending fault crew indicated no signs of conductors clashing nor any sign of tree branches involved.

DAO attended call out located down Heritage lane Healesville. Arrived on site next morning to find a burnt out area between Pole#1402987 and Pole#1402988. 
Investigated the area, only to find no real evidence of the cause. There were no tree branches located at the scene and the line was far enough away from the line to not impact it and there were no foreign objects around the site. Suspected conductor clashing

Action item assigned for further investigation.",Conductor (bare),Conductor clashing,Conductor
"At 0200hrs on 20/04/2018, 11kV feeder BR 15 circuit breaker reclosed to lockout affecting 487 customers.

A possum flashed over the GFB switch (CH9484) located outside 229 Balcombe Road, Beaumaris that caused a HV connection to fail and a HV conductor to fall to the ground.   The HV conductor made brief contact with the LV blue phase conductor below and the faults crew requested that a LEI attend as a HVI was suspected to customers supplied from ""the south circuit of ""Church-Balcombe"" substation.  The LEI confirmed a high voltage injection occurred (KEY 1803) affecting customers who reside in the vicinity that sustained minor damage to appliances and equipment.

Secondary damage was sustained due to probable fault current with a connection failure at CH8068 located in Balcombe Road on the corner of Charman Road that was repaired by a glove and barrier crew.",Conductor (bare);Disconnector/isolator,HV injection;Electrical breakdown,Animal
"12.08PM - 22kV feeder, GW03 circuit breaker reclosed to lockout.  At the same time, 66kV feeder GW-NO successfully reclosed and held.  22kV feeder GW03 was sectionalised and restored via NO04 but the first part of GW03 tripped again on sectionalising.  All sections were inspected during a patrol with no faults identified and GW03 was restored.

A short time later following the fault earlier in the day, a catastrophic (explosive) failure of a network asset occurred when a surge arrester on the GW03 rack within the GW zone substation ruptured with GW03 and GW12 circuit breakers reclosing to lockout.  No persons were in the vicinity and there was no other major damage. 

ESV was advised with reference number 9763042 provided.",Switchyard;Zone substation;Surge diverter,Electrical breakdown,AF Other
"Vic Fire reported a pole fire at the incident location.  
On arrival the crew found that the 3 phase LV Fused Junction Box had melted and dropped from its mounting position, and wiring in the Underground Service Pit at the base of this pole were running hot..
There was no pole fire, no ground fire or any other damage caused by this incident.",Connection box,Overheated connection,Fuse
Masters Josh & Ky DeVries received an electric shock from an external Tap at the side of the property whilst using the Tap to play in the sprinkler when their hands made simultaneous contact with the metal Tap and their bare feet whilst standing on the wet ground.,Service conductor,Corrosion,Connection
Unknown persons attempted to steal copper (low voltage underground cable) at pole substation Buckland Way-P8,Services cable,,Other
"IMS 233413. Initial report: HV dropper burnt off bushing - fire observed on ground.

Final report: An insulated HV dropper termination lead connection at the transformer bushing White Phase failed causing a flashover at the water sheds. The HV dropper lead shorted out to the transformer tank melting the water sheds of the dropper lead. HV fuse operated.",Pole mounted;Connector/termination,Electrical breakdown,Connection
"Caller reports of a fire with small flames on the pole located outside 42-44 Jacksons Road.

Following light rain, a LV underground cable crutch has blown up at pole number LIS 3304380 that caused the LV white and blue phase HRC fuses to operate at ""Jacksons-Kingston"" substation.",Cable,Moisture ingress,UG Cable
"CFA reported a pole fire at  Bambra Rd, Aireys Inlet. A crew was dispatched to investigate.
Upon arrival, the crew found evidence of a LV crossarm fire and a burnt LV service fuse mount. The crew made safe and made necessary repairs. There was evidence of a small ground fire at the base of pole.

There were no reported shocks or injuries.",Crossarm (wood);Any other type,Overheated connection,Connection
"A new unit development was being constructed at 6 St Aubins Avenue with a new pole type substation installed to supply the site.  Part of the electricity supply offer was a HV extension from existing HV infrastructure to the pole type substation.  Private trees were required to be cut to ensure clearances are maintained to the new HV conductors and the builder was instructed the tree cutting activities are within a No Go Zone and do not proceed and arrange for a site assessment.

United Energy’s Vegetation Liaison Officer inspected this site and provided the following information to the builder… 
 
""I have inspected the site and can provide the below advice.  The overhang in the below picture will need to be removed prior to the new HV being constructed and energised.  As per the approved design drawing, there is an offset type construction which indicated the inner HV phase will be in line with the centre of the poles.  The customer will need to arrange for a NGZ Live Line quote or Shutdown in order for their arborist to safely remove this overhang whilst eliminating damage or an outage to our network. The crew will prune back to a clearance of 3m which is more than ample as the required clearance for HV in a Low Bush Fire Risk Area is 2m plus re-growth pending on the length of the span.  Overhang is permitted within a Low Bushfire Risk Area but the minimum 2m clearance plus re-growth is still required.  Just to clarify I believe this requires a NGZ raised as access to the tree will be breached as there is a 3m minimum required clearance for any persons not working directly for UE (Unauthorised Persons) under the VESI No Go Zone requirements.  No Go Zone can be contacted at 132 099"".

Also on 22/03/2018, the UE Vegetation Liaison Officer spoke with the builder and re-iterated the No Go Zone requirements.",Conductor (bare),,Other
